delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
0.2,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
0.3,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
0.4,Shubman Gill,DL Chahar,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
0.5,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
0.6,Shubman Gill,DL Chahar,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
1.1,Shubman Gill,TU Deshpande,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
1.2,Shubman Gill,TU Deshpande,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
1.3,WP Saha,TU Deshpande,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
1.4,Shubman Gill,TU Deshpande,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
1.5,WP Saha,TU Deshpande,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
1.6,WP Saha,TU Deshpande,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
2.1,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
2.2,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
2.3,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
2.4,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
2.5,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
2.6,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
3.1,Shubman Gill,TU Deshpande,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
3.2,Shubman Gill,TU Deshpande,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
3.3,Shubman Gill,TU Deshpande,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
3.4,Shubman Gill,TU Deshpande,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
3.5,WP Saha,TU Deshpande,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
3.6,Shubman Gill,TU Deshpande,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
4.1,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
4.2,Shubman Gill,DL Chahar,0,WP Saha,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
4.3,Shubman Gill,DL Chahar,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
4.4,Shubman Gill,DL Chahar,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
4.5,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
4.6,WP Saha,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
5.1,WP Saha,M Theekshana,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
5.2,WP Saha,M Theekshana,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
5.3,Shubman Gill,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
5.4,Shubman Gill,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
5.5,Shubman Gill,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
5.6,Shubman Gill,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
6.1,WP Saha,RA Jadeja,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
6.2,Shubman Gill,RA Jadeja,0,WP Saha,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
6.3,Shubman Gill,RA Jadeja,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
6.4,WP Saha,RA Jadeja,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
6.5,WP Saha,RA Jadeja,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
6.6,Shubman Gill,RA Jadeja,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'Shubman Gill', 'fielders': ['MS Dhoni'], 'kind': 'stumped'}",0.0,0,0.0,0.0,0,stumped,Shubman Gill,['MS Dhoni'],0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
7.1,WP Saha,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
7.2,B Sai Sudharsan,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
7.3,WP Saha,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
7.4,B Sai Sudharsan,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
7.5,B Sai Sudharsan,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
7.6,WP Saha,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
8.1,WP Saha,RA Jadeja,0,B Sai Sudharsan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
8.2,WP Saha,RA Jadeja,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
8.3,B Sai Sudharsan,RA Jadeja,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
8.4,WP Saha,RA Jadeja,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
8.5,B Sai Sudharsan,RA Jadeja,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
8.6,B Sai Sudharsan,RA Jadeja,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
9.1,B Sai Sudharsan,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
9.2,WP Saha,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
9.3,B Sai Sudharsan,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
9.4,B Sai Sudharsan,M Theekshana,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
9.5,WP Saha,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
9.6,WP Saha,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
10.1,WP Saha,RA Jadeja,0,B Sai Sudharsan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
10.2,WP Saha,RA Jadeja,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
10.3,B Sai Sudharsan,RA Jadeja,0,WP Saha,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
10.4,B Sai Sudharsan,RA Jadeja,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
10.5,WP Saha,RA Jadeja,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
10.6,B Sai Sudharsan,RA Jadeja,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
11.1,B Sai Sudharsan,M Pathirana,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
11.2,B Sai Sudharsan,M Pathirana,{'wides': 1},WP Saha,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2023-05-29,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,DP Conway,20,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,"Narendra Modi Stadium, Ahmedabad"
